,이름,년도,팀,war,경기수,완봉,완투,선발,승,패,세이브,홀드,inning,실점,ERA,FIP,WHIP,ERA_plus,FIP_plus,자책,볼넷,홈런,삼진,연봉
124,레스,2,두,4.21,31.0,1.0,0.0,31.0,16.0,8.0,0.0,0.0,202.1,97.0,3.87,3.83,1.34,106.4,107.6,87.0,69.0,19.0,154.0,0.0
125,서재응,12,K,4.18,29.0,2.0,2.0,27.0,9.0,8.0,0.0,0.0,160.0,51.0,2.59,3.45,1.21,146.1,109.4,46.0,51.0,7.0,97.0,29000.0
126,송은범,9,S,4.17,31.0,1.0,0.0,29.0,12.0,3.0,0.0,0.0,149.1,59.0,3.13,4.37,1.37,151.0,108.2,52.0,49.0,17.0,103.0,10000.0
127,장문석,2,L,4.17,59.0,0.0,0.0,0.0,10.0,3.0,4.0,9.0,101.1,22.0,1.6,2.87,1.13,258.7,143.9,18.0,39.0,3.0,86.0,6000.0
128,배영수,6,삼,4.16,32.0,0.0,0.0,25.0,8.0,9.0,0.0,4.0,157.1,56.0,2.92,2.94,1.14,124.1,123.0,51.0,38.0,13.0,133.0,28000.0
129,피어밴드,16,넥,4.16,31.0,0.0,0.0,30.0,7.0,13.0,0.0,0.0,182.0,97.0,4.45,4.81,1.53,117.8,108.1,90.0,48.0,23.0,144.0,45000.0
130,유먼,13,롯,4.14,31.0,0.0,0.0,31.0,13.0,4.0,0.0,0.0,193.1,81.0,3.54,4.46,1.37,123.5,98.1,76.0,78.0,19.0,141.0,0.0
131,장원삼,6,현,4.14,29.0,0.0,0.0,29.0,12.0,10.0,0.0,0.0,183.1,60.0,2.85,3.61,1.14,126.9,100.0,58.0,63.0,19.0,142.0,0.0
132,리오단,14,L,4.14,28.0,2.0,1.0,28.0,9.0,10.0,0.0,0.0,168.0,80.0,3.96,4.77,1.27,124.9,106.3,74.0,37.0,13.0,77.0,900000.0
133,유희관,16,두,4.13,30.0,0.0,0.0,29.0,15.0,6.0,0.0,0.0,185.2,95.0,4.41,5.27,1.45,115.9,94.9,91.0,58.0,22.0,102.0,40000.0
134,후랭코프,18,두,4.13,28.0,0.0,0.0,28.0,18.0,3.0,0.0,0.0,149.1,64.0,3.74,4.61,1.16,135.3,110.0,62.0,55.0,12.0,134.0,70000.0
135,손승락,17,롯,4.13,61.0,0.0,0.0,0.0,1.0,3.0,37.0,0.0,62.0,16.0,2.18,3.69,1.13,231.4,136.8,15.0,11.0,7.0,62.0,70000.0
136,윤성환,16,삼,4.13,28.0,1.0,0.0,28.0,11.0,10.0,0.0,0.0,180.0,95.0,4.35,5.55,1.35,121.2,93.9,87.0,41.0,25.0,85.0,80000.0
137,이재우,5,두,4.12,76.0,0.0,0.0,0.0,7.0,5.0,1.0,28.0,99.2,22.0,1.72,3.06,1.08,241.2,135.4,19.0,26.0,6.0,79.0,5500.0
138,정우람,11,S,4.11,68.0,0.0,0.0,0.0,4.0,0.0,7.0,25.0,94.1,21.0,1.81,2.83,0.89,226.4,145.0,19.0,23.0,3.0,68.0,22000.0
139,정재훈,10,두,4.11,63.0,0.0,0.0,0.0,8.0,4.0,2.0,23.0,78.0,16.0,1.73,2.45,1.03,262.7,185.4,15.0,28.0,2.0,89.0,14000.0
140,노경은,12,두,4.11,42.0,2.0,2.0,18.0,12.0,6.0,0.0,7.0,146.0,46.0,2.53,3.38,1.2,151.4,113.3,41.0,69.0,6.0,133.0,5500.0
141,김진우,2,K,4.1,33.0,4.0,1.0,29.0,12.0,11.0,0.0,0.0,188.0,94.0,4.07,3.73,1.43,104.6,114.1,85.0,67.0,20.0,177.0,0.0
142,정민철,7,한,4.1,26.0,1.0,1.0,26.0,12.0,5.0,0.0,0.0,155.1,58.0,2.9,3.66,1.2,138.8,110.0,50.0,32.0,11.0,66.0,26000.0
143,레일리,19,롯,4.1,30.0,0.0,0.0,30.0,5.0,14.0,0.0,0.0,181.0,88.0,3.88,3.77,1.41,108.1,111.1,78.0,65.0,10.0,140.0,900000.0
144,이승호,2,S,4.09,27.0,1.0,0.0,19.0,6.0,12.0,0.0,0.0,142.2,55.0,3.15,3.49,1.12,133.4,120.7,50.0,40.0,18.0,144.0,8000.0
145,이용찬,12,두,4.07,26.0,3.0,1.0,26.0,10.0,11.0,0.0,0.0,162.0,58.0,3.0,3.37,1.34,127.5,113.5,54.0,63.0,5.0,113.0,10200.0
